gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station
880273,,"Chardonnay Ct",, -27.532560, 151.924896,,,0,
880274,,"Champagne St",, -27.531643, 151.927048,,,0,
880275,,"Sherry St",, -27.531118, 151.929642,,,0,
880276,,"Wine Drive Park",, -27.530996, 151.931259,,,0,
880277,,"Burgundy St",, -27.530970, 151.932739,,,0,
880278,,"Tor / Hogg",, -27.528204, 151.933655,,,0,
880280,,"Ballie Henderson Hospital (Holberton)",, -27.528261, 151.936310,,,0,
880281,,"Ballie Henderson Hospital (Hogg)",, -27.528498, 151.937973,,,0,
880282,,"David St",, -27.531517, 151.939438,,,0,
880283,,"Esmond St",, -27.533936, 151.938995,,,0,
880284,,"Makepeace St",, -27.534042, 151.937668,,,0,
880285,,"Northridge Haven",, -27.536352, 151.937012,,,0,
880286,,"Tomkys St",, -27.537764, 151.936752,,,0,
880287,,"Bullock St",, -27.539028, 151.936539,,,0,
880288,,"St Andrews Hospital",, -27.539282, 151.934296,,,0,
880289,,"Sacred Heart School (Tor)",, -27.538809, 151.930908,,,0,
880290,,"Sacred Heart School",, -27.538626, 151.929550,,,0,
880291,,"Risson St",, -27.538383, 151.927734,,,0,
880292,,"Bischof St",, -27.538054, 151.925308,,,0,
880293,,"Stella Ct",, -27.540934, 151.924240,,,0,
880298,,"Bridge / Tor",, -27.546984, 151.930786,,,0,
880299,,"Ethel St",, -27.547966, 151.932938,,,0,
880300,,"Bridge / Holberton",, -27.548548, 151.934235,,,0,
880301,,"Monash La",, -27.548952, 151.935928,,,0,
880302,,"Cay St",, -27.549141, 151.937271,,,0,
880303,,"Bridge / Gordon",, -27.549265, 151.938187,,,0,
880304,,"Avondale St",, -27.548420, 151.938507,,,0,
880305,,"Wisteria Ct",, -27.547094, 151.938736,,,0,
880306,,"Teesdale Ave",, -27.544909, 151.939117,,,0,
880307,,"Jellicoe / Gordon",, -27.543814, 151.939850,,,0,
880308,,"Gladstone St",, -27.544037, 151.941498,,,0,
880309,,"Wichello St",, -27.544235, 151.943008,,,0,
880310,,"Fanny St",, -27.545969, 151.942932,,,0,
880311,,"Percy St",, -27.547432, 151.942703,,,0,
880312,,"Hillside St",, -27.549360, 151.942368,,,0,
880313,,"Hillview Ave",, -27.549938, 151.943069,,,0,
880314,,"Holy Name School",, -27.551172, 151.944977,,,0,
880315,,"Boulton Tce",, -27.552464, 151.946075,,,0,
880316,,"Norwood St",, -27.552641, 151.948074,,,0,
880317,,"Price La",, -27.552961, 151.949753,,,0,
880318,,"Mort / Campbell",, -27.555073, 151.949753,,,0,
880319,,"Toowoomba North State School",, -27.557524, 151.949371,,,0,
880320,,"St Mary's School",, -27.560236, 151.941971,,,0,
880321,,"Helen St",, -27.560904, 151.939636,,,0,
880322,,"Newtown",, -27.560686, 151.938141,,,0,
880323,,"Allenby St",, -27.561113, 151.935059,,,0,
880324,,"Masonic Hall - Newtown",, -27.561626, 151.933777,,,0,
